PC_number	variance_explained	variance_explained_ratio
1	207.67564749411218	0.16812051581025167
2	90.33872642431372	0.07313227847057717
3	61.56842235430198	0.04984173661537344
4	44.65856807808822	0.03615263316248137
5	37.12057228730126	0.030050368617677004
6	32.49364921840991	0.02630471667272077
7	28.111509913160685	0.022757225528523117
8	27.300191529938562	0.022100435641410763
9	25.7980660110047	0.020884413829984544
10	24.12443161008003	0.019529549732261127
11	22.920248832749945	0.018554722726315257
12	20.43603625379034	0.01654366796281033
13	19.50835283308164	0.015792676611248096
14	18.878033644885612	0.015282411742336976
15	17.87933627919357	0.014473932181615991
16	17.2559100273994	0.013969247379685811
17	15.605346842084991	0.012633060217441199
18	15.12218842659757	0.012241927010394801
19	14.758108887494656	0.011947192212894406
20	14.037557715531698	0.011363881477332461
21	13.475597523770825	0.010908955546229516
22	12.769257351944345	0.010337149099696895
23	12.344847283491013	0.00999357468216457
24	11.688859949662893	0.009462530574398867
25	11.541097852846578	0.009342912120171258
26	11.110766459979963	0.00899454418868266
27	10.70240127651976	0.008663958652483844
28	10.553548902728947	0.008543457581880458
29	10.263815372605542	0.008308908412925765
30	9.76329071096105	0.007903716637641618
31	9.636087177920146	0.007800741041582243
32	9.114086261926365	0.007378163506328445
33	8.667892850672267	0.007016954730257089
34	8.479488900292472	0.00686443531018672
35	8.212731256974296	0.006648485904793629
36	8.07916613338878	0.006540360384337055
37	7.908861404943311	0.006402492901381505
38	7.56160110784977	0.00612137385361524
39	7.39074497314153	0.005983059988493864
40	7.257723733678361	0.005875374760774032
41	7.070699389483707	0.005723972178937995
42	6.930140550697615	0.00561018500762761
43	6.903919850468377	0.00558895845699138
44	6.699904026393576	0.005423800692993647
45	6.4929511634788675	0.005256265295938412
46	6.291022774670755	0.005092797381944715
47	6.054111574736012	0.004901009689864045
48	5.927885723139612	0.004798825560260804
49	5.621612449488974	0.004550886905120705
50	5.558806372771074	0.004500043245109336
51	5.467840379278768	0.004426403172565192
52	5.307928107032291	0.004296948737156585
53	5.260299360818363	0.004258391643546906
54	5.152709588702573	0.0041712940555423865
55	5.070249837317545	0.004104540075941437
56	4.983260274197254	0.004034119059330395
57	4.946393022557194	0.004004273762411752
58	4.746602592364407	0.0038425365987950315
59	4.7125076668459585	0.0038149355943737687
60	4.523521774730728	0.0036619450726315702
61	4.424093472360394	0.0035814544725908887
62	4.39446934638959	0.0035574727328022563
63	4.271794796818312	0.003458163503243705
64	4.185827368383209	0.003388569939502438
65	4.106860471906898	0.003324643545013125
66	4.021057480650916	0.003255183098773625
67	3.828503119185941	0.0030993037794522635
68	3.7638015573818797	0.003046925659651115
69	3.611590775350436	0.002923705843096872
70	3.566912762256582	0.0028875374685312944
71	3.498158482124843	0.002831878535096462
72	3.4507363452864013	0.0027934886988190562
73	3.3743657803441853	0.002731664123209296
74	3.360359699109046	0.002720325723015799
75	3.1619606131226523	0.002559714899961735
76	3.13414949839356	0.0025372008545744653
77	3.043096786743126	0.002463490580725303
78	3.0053626247978777	0.002432943490363721
79	2.976452657634295	0.0024095398864734923
80	2.9116652109456256	0.0023570922399306442
81	2.8943128881848668	0.002343044943156826
82	2.7816028555352053	0.0022518023297127595
83	2.6449858926159275	0.002141206241285636
84	2.624375184345336	0.0021245211703710756
85	2.6142683941270732	0.0021163393791732007
86	2.4781072505378368	0.002006112292031531
87	2.418988879479047	0.001958253955456236
88	2.4046592269610905	0.0019466536132795305
89	2.3981367321887888	0.0019413734314251794
90	2.318785377052124	0.0018771358045450378
91	2.292900433440623	0.001856181060336003
92	2.2259546229157743	0.0018019861446943314
93	2.1845520772275213	0.0017684693726464007
94	2.137183897963634	0.001730123216864881
95	2.0788282940963057	0.0016828823663319742
96	2.070965682120512	0.0016765173139200213
97	2.0194324650841367	0.0016347994180855438
98	1.9321994872929287	0.0015641813490009733
99	1.9285601826637608	0.0015612352078485125
100	1.8604672437876273	0.001506111652703627
101	1.800720150413165	0.0014577443439821617
102	1.7702693673554672	0.001433093397102936
103	1.7608806501466372	0.0014254929104835798
104	1.7181417373043764	0.0013908943036709347
105	1.6892920139400025	0.001367539469189732
106	1.638783071959808	0.001326650758928308
107	1.6279518141339553	0.001317882486506729
108	1.57403505724926	0.0012742350339158908
109	1.548678267646783	0.0012537078483806617
110	1.5372315067996363	0.0012444413052823263
111	1.48190629683262	0.0011996536619105682
112	1.4434142865663762	0.0011684930674999122
113	1.3902933630820995	0.001125489869174761
114	1.3754970667372357	0.0011135117629134075
115	1.360471415860725	0.001101347986340541
116	1.3336490631452411	0.0010796343775078083
117	1.256723024896729	0.001017360127321851
118	1.2280750357351489	0.000994168603554444
119	1.1871937448103143	0.0009610738050058225
120	1.1465841289269365	0.0009281989366640098
121	1.1020122893186848	0.0008921165131542262
122	1.0800700817619373	0.0008743535481799118
123	1.0633039395667956	0.000860780784555447
124	1.0333452421846638	0.0008365281978046099
125	1.00978388004076	0.0008174544719989033
126	0.9520120080040535	0.0007706861722809005
127	0.9367846061061718	0.0007583590713790268
128	0.908488446446758	0.0007354523655866456
129	0.8888538155520924	0.0007195574625800297
130	0.865005724138404	0.0007002516196565209
131	0.8539953097642752	0.0006913383139020962
132	0.8107089545862178	0.00065629653385763
133	0.7718292668717877	0.0006248221013376745
134	0.7470821650277625	0.0006047884788257028
135	0.7038153685224517	0.0005697625321935332
136	0.6899059401780581	0.0005585023758097594
137	0.6708176936000326	0.0005430497895323919
138	0.6283109599256314	0.000508639139670559
139	0.602772559252516	0.0004879649337829633
140	0.5746886947617437	0.00046523008816622954
141	0.5629071607511525	0.00045569253478047327
142	0.5500139611226407	0.0004452550501830006
143	0.5329774601284224	0.0004314634218948016
144	0.5192512222595947	0.0004203515644455215
145	0.46162326719422175	0.0003736997704215968
146	0.4392883214984849	0.0003556188705362711
147	0.41925475171008764	0.0003394010128963111
148	0.4137410817056729	0.0003349375090799766
149	0.38037522415261116	0.00030792671002886896
150	4.4670546081753363e-29	3.6162329764749664e-32
